2019/06/04 13:09:38 [error] 232#3520: *4 CreateFile() "C:\PBP\nginx-1.14.0/html/main" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /main HTTP/1.1", host: "localhost"
2019/06/04 13:09:59 [error] 232#3520: *4 CreateFile() "C:\PBP\nginx-1.14.0/html/main" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /main HTTP/1.1", host: "localhost"
2019/06/04 13:10:21 [error] 232#3520: *5 CreateFile() "C:\PBP\nginx-1.14.0/html/browserconfig.xml" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /browserconfig.xml HTTP/1.1", host: "localhost"
2019/06/04 13:10:30 [error] 232#3520: *4 CreateFile() "C:\PBP\nginx-1.14.0/html/main" failed (2: The system cannot find the file specified), client: 127.0.0.1, server: localhost, request: "GET /main HTTP/1.1", host: "localhost"
2019/06/04 13:14:25 [notice] 3020#1268: signal process started
2019/06/04 13:17:18 [notice] 3632#3276: signal process started
2019/06/04 13:26:09 [notice] 1872#3432: signal process started
2019/06/04 13:26:46 [error] 3556#1272: *1 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 172.16.126.163, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "172.16.126.163", referrer: "http://172.16.126.163/"
2019/06/04 13:28:21 [error] 3556#1272: *3 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/"
2019/06/04 13:36:45 [error] 3800#3644: *10 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 127.0.0.1, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "127.0.0.1:8899", referrer: "http://127.0.0.1:8899/"
2019/06/04 13:38:47 [notice] 3352#3484: signal process started
2019/06/04 13:40:24 [error] 1812#2988: *2 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 182.149.166.84, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:40:28 [error] 1812#2988: *4 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 182.149.166.84, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:49:36 [error] 1812#2988: *16 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:49:48 [error] 1812#2988: *15 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:49:56 [error] 1812#2988: *15 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:50:39 [error] 1812#2988: *15 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:50:58 [error] 1812#2988: *15 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:53:56 [error] 1812#2988: *17 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 182.149.166.84, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:55:12 [error] 1812#2988: *18 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 182.149.166.84, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:57:18 [error] 1812#2988: *21 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:57:26 [error] 1812#2988: *21 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:57:30 [error] 1812#2988: *21 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:57:38 [error] 1812#2988: *21 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:57:41 [error] 1812#2988: *21 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:57:52 [error] 1812#2988: *21 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:59:44 [error] 1812#2988: *24 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 13:59:53 [error] 1812#2988: *24 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 14:08:00 [error] 1812#2988: *25 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 182.149.166.84, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 14:25:41 [error] 1812#2988: *26 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 171.217.117.17, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 19:38:05 [error] 1812#2988: *35 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 110.185.91.147, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 19:38:08 [error] 1812#2988: *38 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 110.185.91.147, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 19:38:18 [error] 1812#2988: *37 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 110.185.91.147, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:36:49 [error] 1812#2988: *55 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 118.113.126.144, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:36:53 [error] 1812#2988: *55 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 118.113.126.144, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:41:42 [error] 1812#2988: *75 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:41:43 [error] 1812#2988: *76 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:41:46 [error] 1812#2988: *77 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
2019/06/04 20:44:10 [error] 1812#2988: *78 CreateFile() "C:\PBP\nginx-1.14.0/html/assets/image/video-list-cover.png" failed (3: The system cannot find the path specified), client: 119.4.252.207, server: 127.0.0.1, request: "GET /assets/image/video-list-cover.png HTTP/1.1", host: "121.199.1.86:8799", referrer: "http://121.199.1.86:8799/"
